id,type,contentType,pagetitle,longtitle,description,alias,link_attributes,published,pub_date,unpub_date,parent,isfolder,introtext,content,richtext,template,menuindex,searchable,cacheable,createdby,createdon,editedby,editedon,deleted,deletedon,deletedby,publishedon,publishedby,menutitle,donthit,privateweb,privatemgr,content_dispo,hidemenu,class_key,context_key,content_type,uri,uri_override,hide_children_in_tree,show_in_tree,properties,alias_visible
17,document,text/html,Головна - Корисне,"","",korisne,"",1,"0","0",29,1,"","",1,8,3,1,1,1,1420314298,1,1622446043,"0","0","0",1420314240,1,"","0","0","0","0",1,modDocument,web,1,korisne/,"0","0",1,,1
144,document,text/html,Меню зліва,"","",menyu-zlіva,"","0","0","0",29,1,"","",1,8,5,1,1,1,1618987549,1,1620822948,"0","0","0","0","0","","0","0","0","0","0",modWebLink,web,1,menyu-zliva/,"0","0",1,,1
164,document,text/html,Президент України,"","",prezident-ukraїni,"",1,"0","0",144,"0","",https://www.president.gov.ua,1,8,4,1,1,1,1620823937,1,1620824885,"0","0","0",1620824100,1,"","0","0","0","0","0",modWebLink,web,1,prezident-ukraini.html,"0","0",1,"{""core"":{""responseCode"":""HTTP\/1.1 301 Moved Permanently""}}",1
165,document,text/html,Урядовий портал,"","",uryadovij-portal,"",1,"0","0",144,"0","",https://www.kmu.gov.ua/,1,8,5,1,1,1,1620823990,1,1620824904,"0","0","0",1620824040,1,"","0","0","0","0","0",modWebLink,web,1,uryadovij-portal.html,"0","0",1,"{""core"":{""responseCode"":""HTTP\/1.1 301 Moved Permanently""}}",1
166,document,text/html,Верховна Рада України,"","",verxovna-rada-ukraїni,"",1,"0","0",144,"0","",https://www.rada.gov.ua/,1,8,6,1,1,1,1620824024,1,1620824927,"0","0","0",1620824040,1,"","0","0","0","0","0",modWebLink,web,1,verxovna-rada-ukraini.html,"0","0",1,"{""core"":{""responseCode"":""HTTP\/1.1 301 Moved Permanently""}}",1
167,document,text/html,Офіційний сайт НКРЕКП,"","",ofіczіjnij-sajt-nkrekp,"",1,"0","0",144,"0","",https://www.nerc.gov.ua/,1,8,7,1,1,1,1620824055,1,1620825860,"0","0","0",1620824040,1,"","0","0","0","0","0",modWebLink,web,1,oficzijnij-sajt-nkrekp.html,"0","0",1,"{""core"":{""responseCode"":""HTTP\/1.1 301 Moved Permanently""}}",1
168,document,text/html,Офіційний сайт Волинської ОДА,"","",ofіczіjnij-sajt-volinskoї-oda,"",1,"0","0",144,"0","",https://www.voladm.gov.ua/,1,8,8,1,1,1,1620824075,1,1620824991,"0","0","0",1620824040,1,"","0","0","0","0","0",modWebLink,web,1,oficzijnij-sajt-volinskoi-oda.html,"0","0",1,"{""core"":{""responseCode"":""HTTP\/1.1 301 Moved Permanently""}}",1
169,document,text/html,Офіційний сайт Волинської обласної ради,"","",oficzijnij-sajt-volinskoi-oblasnoi-radi,"",1,"0","0",144,"0","",https://new.volynrada.gov.ua/,1,8,9,1,1,1,1620824141,9,1666272663,"0","0","0",1620824100,1,"","0","0","0","0","0",modWebLink,web,1,oficzijnij-sajt-volinskoi-oblasnoi-radi.html,"0","0",1,"{""core"":{""responseCode"":""HTTP\/1.1 301 Moved Permanently""}}",1
170,document,text/html,Офіційний сайт Ковельської міської ради,"","",ofіczіjnij-sajt-kovelskoї-mіskoї-radi,"",1,"0","0",144,"0","",http://www.kowelrada.gov.ua/,1,8,10,1,1,1,1620824174,9,1643639515,"0","0","0",1620824160,1,"","0","0","0","0","0",modWebLink,web,1,oficzijnij-sajt-kovelskoi-miskoi-radi.html,"0","0",1,"{""core"":{""responseCode"":""HTTP\/1.1 301 Moved Permanently""}}",1
185,document,text/html,Телефон аварійно-диспетчерської служби: 5-96-95,"","",telefon-avarіjno-dispetcherskoї-sluzhbi-5-96-95,"",1,"0","0",17,"0","",tel://0335259695,1,8,3,1,1,1,1622446132,"0","0","0","0","0",1622446132,1,"","0","0","0","0","0",modWebLink,web,1,telefon-avarijno-dispetcherskoi-sluzhbi-5-96-95.html,"0","0",1,"{""core"":{""responseCode"":""HTTP\/1.1 301 Moved Permanently""}}",1
