id,type,contentType,pagetitle,longtitle,description,alias,link_attributes,published,pub_date,unpub_date,parent,isfolder,introtext,content,richtext,template,menuindex,searchable,cacheable,createdby,createdon,editedby,editedon,deleted,deletedon,deletedby,publishedon,publishedby,menutitle,donthit,privateweb,privatemgr,content_dispo,hidemenu,class_key,context_key,content_type,uri,uri_override,hide_children_in_tree,show_in_tree,properties,alias_visible
20,document,text/html,Головна - Слайдер,"","",golovna-slajder,"",1,"0","0",29,1,"",http://,1,4,4,1,1,1,1420320607,9,1620904763,"0","0","0",1420320600,1,"","0","0","0","0","0",modSymLink,web,1,golovna-slajder/,"0","0",1,"{""core"":{""responseCode"":""HTTP\/1.1 301 Moved Permanently""}}",1
22,document,text/html,Опалювальний сезон розпочнеться 21.10.2014,"","",opalyuvalnij-sezon-rozpochnetsya,"","0","0","0",20,"0","",21,1,4,"0",1,1,1,1420322035,4,1457090671,"0","0","0","0","0","","0","0","0","0","0",modWebLink,web,1,opalyuvalnij-sezon-rozpochnetsya.html,"0","0",1,"{""core"":{""responseCode"":""HTTP\/1.1 301 Moved Permanently""}}",1
23,document,text/html,Діяльність,"","",dіyalnіst,"","0","0","0",20,"0","",6,1,4,1,1,1,1,1420322312,1,1584401214,"0","0","0","0","0","","0","0","0","0","0",modWebLink,web,1,diyalnist.html,"0","0",1,"{""core"":{""responseCode"":""HTTP\/1.1 301 Moved Permanently""}}",1
24,document,text/html,Модернізація та оптимізація,"","",modernіzaczіya-ta-optimіzaczіya,"","0","0","0",20,"0","",16,1,4,2,1,1,1,1420322443,1,1584401229,"0","0","0","0","0","","0","0","0","0","0",modWebLink,web,1,modernizacziya-ta-optimizacziya.html,"0","0",1,"{""core"":{""responseCode"":""HTTP\/1.1 301 Moved Permanently""}}",1
114,document,text/html,Повідомлення про встановлення лічильників ГВП,"","",povіdomlennya-pro-vstanovlennya-lіchilnikіv-gvps,"","0","0","0",20,"0","",112,1,4,3,1,1,1,1540979036,9,1621595048,"0","0","0","0","0","","0","0","0","0","0",modWebLink,web,1,povidomlennya-pro-vstanovlennya-lichilnikiv-gvps.html,"0","0",1,"{""core"":{""responseCode"":""HTTP\/1.1 301 Moved Permanently""}}",1
121,document,text/html,Графік зупинки котелень ПТМ «Ковельтепло» для ремонту в 2021 році,"","",graph-hot-water,"","0","0","0",20,"0","",158,1,4,4,1,1,1,1557228417,9,1630405205,"0","0","0","0","0","","0","0","0","0","0",modWebLink,web,1,graph-hot-water.html,"0","0",1,"{""core"":{""responseCode"":""HTTP\/1.1 301 Moved Permanently""}}",1
216,document,text/html,Про повірку лічильників,"","",pro-povіrku-lіchilnikіv,"","0","0","0",20,"0",206,"",1,4,206,1,1,9,1634556827,9,1634557748,"0","0","0","0","0","","0","0","0","0","0",modDocument,web,1,pro-povirku-lichilnikiv.html,"0","0",1,,1
129,document,text/html,У ПТМ «Ковельтепло» діють карантинні заходи,"","",quarantine-sl,"","0","0","0",20,"0","",128,1,4,5,1,1,1,1584400394,9,1645102080,"0","0","0","0","0","","0","0","0","0","0",modWebLink,web,1,quarantine-sl.html,"0","0",1,"{""core"":{""responseCode"":""HTTP\/1.1 301 Moved Permanently""}}",1
171,document,text/html,У ПТМ «Ковельтепло» діють карантинні заходи,"","",u-ptm-«kovelteplo»-dіyut-karantinnі-zaxodi,"","0","0","0",20,"0","","",1,4,6,1,1,9,1620903464,9,1620909934,"0","0","0","0","0","","0","0","0","0",1,modDocument,web,1,u-ptm-«kovelteplo»-diyut-karantinni-zaxodi.html,"0","0",1,,1
184,document,text/html,ПТМ Ковельтепло,ПТМ «Ковельтепло»,"",ptm-«kovelteplo»,"",1,"0","0",20,"0","",6,1,4,7,1,1,9,1622217129,9,1651061915,"0","0","0",1651061915,9,"","0","0","0","0","0",modWebLink,web,1,ptm-«kovelteplo».html,"0","0",1,"{""core"":{""responseCode"":""HTTP\/1.1 301 Moved Permanently""}}",1
