id,contentid,value
1,22,slider/309660.jpg
2,23,slider/7770.JPG
3,24,slider/0414.jpg
4,114,slider/heatmeters0.jpg
5,121,slider/08-03-2021.jpg
6,129,slider/10-05-2021.jpg
7,164,left-menu-links/prezident-ukra-ni.png
8,165,left-menu-links/uryadovij-portal.png
9,166,left-menu-links/verxovna-rada-ukra-ni.png
14,167,left-menu-links/nkrp0.jpg
11,168,left-menu-links/volinska-oda.png
12,169,left-menu-links/volinska-oblasna-rada.png
13,170,left-menu-links/rada.jpg
15,20,slider/12-05-2021.jpg
16,184,novini/28-05.jpg
17,185,disp-phone0.jpg
18,188,slider/18-10.jpg
19,216,slider/18-10.jpg
20,253,slider/17-00.jpg
46,286,foto-dlya-galere--/170.JPG
45,285,foto-dlya-galere--/160.JPG
44,284,foto-dlya-galere--/140.JPG
43,283,foto-dlya-galere--/130.JPG
42,282,foto-dlya-galere--/120.JPG
38,278,foto-dlya-galere--/70.JPG
39,279,foto-dlya-galere--/80.JPG
40,280,foto-dlya-galere--/90.JPG
41,281,foto-dlya-galere--/110.JPG
37,277,foto-dlya-galere--/60.JPG
36,276,foto-dlya-galere--/50.JPG
35,275,foto-dlya-galere--/40.JPG
32,272,foto-dlya-galere--/10.JPG
33,273,foto-dlya-galere--/20.JPG
34,274,foto-dlya-galere--/3.JPG
48,288,foto-dlya-galere--/150.JPG
49,289,foto-dlya-galere--/190.JPG
50,290,foto-dlya-galere--/210.JPG
51,291,foto-dlya-galere--/220.JPG
52,292,foto-dlya-galere--/230.JPG
53,293,foto-dlya-galere--/240.JPG
54,294,foto-dlya-galere--/230.JPG
55,307,slider/kovelteplo.jpg
56,308,slider/kovelteplo.jpg
57,313,novini/3.jpg
58,314,slider/1.jpg
59,346,slider/v-oseliakh-na-sait.jpg
60,351,foto-dlya-galere--/260.jpg
61,352,foto-dlya-galere--/270.jpg
62,353,foto-dlya-galere--/280.JPG
63,354,foto-dlya-galere--/290.JPG
64,355,foto-dlya-galere--/300.JPG
65,356,foto-dlya-galere--/310.JPG
66,359,foto-dlya-galere--/320.jpg
67,360,foto-dlya-galere--/331.JPG
68,361,foto-dlya-galere--/340.JPG
69,362,foto-dlya-galere--/350.JPG
70,363,foto-dlya-galere--/360.JPG
71,364,foto-dlya-galere--/310.JPG
72,365,foto-dlya-galere--/310.JPG
73,366,foto-dlya-galere--/380.JPG
74,367,foto-dlya-galere--/390.JPG
75,368,foto-dlya-galere--/410.JPG
76,376,slider/hrafik.jpg
